"tick","Susceptible Count","Infected Count"
1.0,100,5
2.0,100,5
3.0,99,6
4.0,99,6
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,100,5
10.0,100,5
11.0,100,5
12.0,100,5
13.0,100,5
14.0,100,5
15.0,100,5
16.0,100,5
17.0,99,6
18.0,99,6
19.0,99,6
20.0,98,7
21.0,98,7
22.0,97,8
23.0,98,7
24.0,98,7
25.0,97,8
26.0,97,8
27.0,97,8
28.0,97,8
29.0,97,8
30.0,97,8
31.0,97,8
32.0,97,8
33.0,97,8
34.0,97,8
35.0,97,8
36.0,97,8
37.0,97,8
38.0,97,8
39.0,97,8
40.0,97,8
41.0,97,8
42.0,97,8
43.0,97,8
44.0,96,9
45.0,96,9
46.0,98,7
47.0,98,7
48.0,98,7
49.0,98,7
50.0,98,7
51.0,98,7
52.0,98,7
53.0,98,7
54.0,98,7
55.0,98,7
56.0,97,8
57.0,97,8
58.0,97,8
59.0,97,8
60.0,97,8
61.0,97,8
62.0,97,8
63.0,97,8
64.0,97,8
65.0,97,8
66.0,98,7
67.0,97,8
68.0,96,9
69.0,96,9
70.0,96,9
71.0,96,9
72.0,96,9
73.0,96,9
74.0,96,9
75.0,96,9
76.0,96,9
77.0,95,10
78.0,96,9
79.0,95,10
80.0,95,10
81.0,95,10
82.0,95,10
83.0,95,10
84.0,95,10
85.0,95,10
86.0,95,10
87.0,95,10
88.0,95,10
89.0,95,10
90.0,95,10
91.0,94,11
92.0,94,11
93.0,94,11
94.0,94,11
95.0,94,11
96.0,94,11
97.0,94,11
98.0,94,11
99.0,94,11
100.0,94,11
